identifier;country code;name;latitude;longitude;observe;daily obs.;TTAAii
1012;NOR;Maarcy/Andenes;69.3;16.04;1;48;IUXD68 
3019;GBR;South Uist;57.2;-7.2;1;48;IUXN55
3499;GBR;NCAS Wind Profiler;52.4;-4.03;1;48;IUXN61 
6610;CHE;Payerne;46.81;6.95;1;48;IUXD76
6620;CHE;Schaffhausen;47.69;8.62;1;48;IUXD76
6632;CHE;Grenchen ;47.18;7.42;1;48;IUXD76
7010;FRA;Dunkerque;51.035278;2.368333;1;96;IUXN70
7151;FRA;Palaiseau_uhf_sirta;48.71;2.2;1;96;IUXN66 
7460;FRA;Aulnat_uhf_mf;45.782833;3.157667;1;96;IUPN57
7462;FRA;Aulnat_uhf_copdd;45.75;3.09;1;24;IUXN64 
7625;FRA;Lannemezan_uhf_p2oa ;43.13;0.36;1;96;IUXN68
8059;ESP;Punta Galea;43.38;-3.04;0;48;IUXN52
10135;DEU;Nordholz;53.78;8.67;1;48;IUXD62
10266;DEU;Ziegendorf;53.31;11.84;1;48;IUXD62
10394;DEU;Lindenberg_482;52.21;14.13;1;48;IUXD62
10678;DEU;Bayreuth;49.98;11.68;1;48;IUXD62
11036;AUT;Vienna;48.1;16.6;1;48;IUXD53
11406;CZE;Cheb;50.069;12.391;1;48;IUXD56
11509;CZE;Doksany;50.458;14.17;1;48;IUXD56
11538;CZE;Temelin;49.198;14.342;1;48;IUXD56
11698;CZE;Kucharovice;48.883;16.086;1;48;IUXD56
12935;HUN;Siofok;46.91;18.04;1;48;IUXD79
12982;HUN;Szeged;46.3;20.1;1;48;IUXD79
14309;HRV;Monte Kope;44.812222;13.8725;1;48;IUXD59
14472;HRV;Dubrovnik;42.6447;18.085;1;48;IUXD59
81406;FRA;Kourou_uhf_mf *;5.2075;-52.7331;1;144;IUXA57 
89571;AUS;Davis *;-68.58;77.99;1;48;IUXD85 
94212;AUS;Halls Creek *;-18.23;127.66;1;48;IUPK19
94238;AUS;Tennant Creek *;-19.64;134.18;1;48;IUPK11
94288;AUS;Cairns *;-16.9463;145.7474;1;48;IUPK17
94300;AUS;Carnarvon *;-24.89;113.67;1;48;IUPK12
94346;AUS;Longreach *;-23.44;144.28;1;48;IUPK33
94653;AUS;Ceduna *;-32.13;133.7;1;48;IUPK13
94672;AUS;Adelaide *;-34.95;138.52;1;48;IUXD88 
94693;AUS;Mildura *;-34.24;142.09;1;48;IUPK14
94907;AUS;East Sale *;-38.1156;147.1329;1;48;IUPK15
94926;AUS;Canberra *;-35.3046;149.2014;1;48;IUPK18
95729;AUS;Coffs Harbour *;-30.3193;153.1162;1;48;IUPK20
95759;AUS;Sydney Airport *;-33.9631;151.1854;1;48;IUPK31
95966;AUS;Launceston *;-41.5475;147.2159;1;48;IUPK16
94352;AUS;Mackay *;-21.17;149.15;1;48;IUPK34
